img_filepath,has_apriltag,corners
captured_frames/frame_0.jpg,False,
captured_frames/frame_1.jpg,False,
captured_frames/frame_2.jpg,False,
captured_frames/frame_3.jpg,False,
captured_frames/frame_4.jpg,False,
captured_frames/frame_5.jpg,False,
captured_frames/frame_6.jpg,False,
captured_frames/frame_7.jpg,False,
captured_frames/frame_8.jpg,False,
captured_frames/frame_9.jpg,False,
captured_frames/frame_10.jpg,False,
captured_frames/frame_11.jpg,False,
captured_frames/frame_12.jpg,False,
captured_frames/frame_13.jpg,False,
captured_frames/frame_14.jpg,False,
captured_frames/frame_15.jpg,False,
captured_frames/frame_16.jpg,False,
captured_frames/frame_17.jpg,False,
captured_frames/frame_18.jpg,False,
captured_frames/frame_19.jpg,True,"199.16741943359375,132.85629272460938,302.5173034667969,139.18136596679688,305.56610107421875,39.375690460205085,205.00572204589844,39.0560073852539"
captured_frames/frame_20.jpg,True,"202.74328613281253,133.3961639404297,302.4474182128907,139.1284637451172,304.0243530273437,44.068984985351584,207.4984283447266,43.74120712280274"
captured_frames/frame_21.jpg,True,"205.6780700683594,137.03001403808597,301.4832153320313,141.1174774169922,300.6818237304687,52.020793914794915,208.41233825683588,51.67467880249021"
captured_frames/frame_22.jpg,True,"209.68910217285156,140.56271362304688,301.7410583496093,143.89051818847653,298.5128173828125,58.550052642822244,210.48986816406253,58.75444412231447"
captured_frames/frame_23.jpg,True,"213.97080993652338,143.32218933105472,303.3711853027343,146.8725891113281,299.7079162597656,63.97834014892575,215.28739929199216,64.17758941650395"
captured_frames/frame_24.jpg,True,"219.70202636718756,144.4316101074219,306.03295898437506,148.4549865722656,302.8578491210937,67.92508697509763,220.23970031738276,67.95770263671876"
captured_frames/frame_25.jpg,True,"225.43345642089838,144.6928863525391,310.33709716796875,148.2454376220703,306.5586242675782,69.89009094238278,226.42686462402347,70.22530364990236"
captured_frames/frame_26.jpg,True,"229.598892211914,145.86927795410156,312.7711486816407,148.86474609374997,309.52038574218756,73.05467987060547,230.55632019042966,74.81173706054689"
captured_frames/frame_27.jpg,True,"233.43879699707034,145.8083953857422,314.9462890625,148.33343505859375,311.322265625,75.08470916748047,234.7735748291016,77.64339447021483"
captured_frames/frame_28.jpg,True,"236.0718688964844,144.0175933837891,315.3842468261719,146.72793579101557,313.31573486328125,76.02805328369138,238.7085113525391,78.91690826416017"
captured_frames/frame_29.jpg,True,"238.93376159667972,141.7714538574219,315.40972900390625,144.66148376464838,314.5166320800781,76.51170349121091,242.39337158203134,79.15967559814457"
captured_frames/frame_30.jpg,True,"242.261001586914,139.87718200683597,316.284423828125,143.3686370849609,316.00094604492193,77.02091217041014,246.14526367187503,79.02344512939456"
captured_frames/frame_31.jpg,True,"245.91923522949227,139.62774658203128,317.16619873046875,143.6968994140625,317.63693237304676,79.5768585205078,250.01188659667974,80.01049804687501"
captured_frames/frame_32.jpg,False,
captured_frames/frame_33.jpg,False,
captured_frames/frame_34.jpg,False,
captured_frames/frame_35.jpg,False,
captured_frames/frame_36.jpg,False,
captured_frames/frame_37.jpg,False,
captured_frames/frame_38.jpg,False,
captured_frames/frame_39.jpg,False,
captured_frames/frame_40.jpg,True,"189.55688476562494,145.9410400390625,266.54296875,139.2125701904297,256.1138916015625,66.57418823242186,183.12371826171872,75.29972076416017"
captured_frames/frame_41.jpg,True,"195.954833984375,153.26766967773443,275.97351074218756,145.42907714843741,259.88919067382807,68.94557189941402,185.6135559082031,78.49011230468754"
captured_frames/frame_42.jpg,True,"201.8421783447266,162.13450622558597,286.7158508300781,152.72425842285153,270.50604248046875,70.51242828369139,190.06643676757815,81.77729034423832"
captured_frames/frame_43.jpg,True,"203.41949462890625,167.37634277343753,296.3821105957032,156.61903381347656,278.7701721191406,69.45223236083983,191.99392700195312,81.44487762451173"
captured_frames/frame_44.jpg,True,"200.50328063964844,170.1427001953125,298.2564392089844,159.05078125,280.92974853515625,67.57206726074219,189.43328857421878,79.15517425537111"
captured_frames/frame_45.jpg,True,"200.11170959472656,170.775634765625,302.7655639648438,159.95803833007812,283.26812744140625,63.25876617431641,187.59922790527344,73.27893829345705"
captured_frames/frame_46.jpg,True,"202.15493774414057,173.18049621582034,312.61694335937506,161.94317626953122,292.1249389648438,55.390106201171875,188.6637420654297,64.46293640136724"
captured_frames/frame_47.jpg,True,"202.79479980468753,182.0942840576172,320.6546325683594,169.21751403808597,304.56973266601557,52.56298446655275,189.38362121582034,62.23181533813476"
captured_frames/frame_48.jpg,True,"203.31152343750006,197.03442382812503,319.5441284179688,181.5699768066406,313.3408813476562,55.35869979858396,188.92727661132815,64.31794738769531"
captured_frames/frame_49.jpg,False,
captured_frames/frame_50.jpg,True,"188.17739868164065,224.07415771484375,319.4450378417969,206.16287231445312,311.58953857421875,63.24701309204097,176.6732635498047,72.9247589111328"
captured_frames/frame_51.jpg,False,
captured_frames/frame_52.jpg,False,
captured_frames/frame_53.jpg,False,
captured_frames/frame_54.jpg,False,
captured_frames/frame_55.jpg,True,"160.9265289306641,221.34475708007812,320.0245666503906,203.98828125,312.9107971191406,39.26569366455078,152.22891235351565,45.51618576049805"
captured_frames/frame_56.jpg,True,"153.89314270019537,221.54470825195312,320.96661376953125,203.6046600341797,308.6737670898437,38.28990936279294,144.558349609375,45.167041778564446"
captured_frames/frame_57.jpg,True,"150.0216217041016,217.84104919433594,320.84362792968744,201.4068450927734,307.91665649414057,34.991531372070284,139.05012512207028,42.9080047607422"
captured_frames/frame_58.jpg,True,"147.0671844482422,214.19232177734375,319.56567382812506,198.67330932617188,308.7197570800781,29.025171279907212,136.21508789062497,37.368309020996115"
captured_frames/frame_59.jpg,True,"141.59704589843753,210.2107696533203,313.75518798828125,196.63327026367185,305.5494995117187,25.879188537597635,132.95373535156247,34.520286560058636"
captured_frames/frame_60.jpg,True,"136.8880157470703,203.3897705078125,305.4369812011719,191.0653839111328,300.1229248046875,25.287538528442376,129.3733367919922,33.844715118408196"
captured_frames/frame_61.jpg,True,"132.06445312499997,196.2379913330078,295.17065429687494,185.29707336425778,292.0113830566406,22.83082962036132,124.3331604003906,32.148319244384794"
captured_frames/frame_62.jpg,True,"128.8106842041016,186.9235992431641,286.6431884765625,178.03109741210938,283.3506164550781,21.470071792602536,120.67378234863283,31.406024932861353"
captured_frames/frame_63.jpg,True,"126.91355895996098,176.03703308105472,277.8366394042969,170.01751708984372,275.9029235839844,19.490470886230444,119.09500122070311,29.24087333679199"
captured_frames/frame_64.jpg,True,"128.4064178466797,167.37481689453128,272.0124206542969,163.2822723388672,269.6253662109375,18.558504104614236,120.78521728515622,27.171789169311527"
captured_frames/frame_65.jpg,True,"129.95372009277344,160.70907592773438,265.4153747558594,157.919921875,264.0334167480469,19.978763580322248,124.07006835937497,27.881498336792"
captured_frames/frame_66.jpg,False,
captured_frames/frame_67.jpg,True,"134.12046813964847,152.7828063964844,262.7711181640625,151.5848693847656,260.8282775878906,22.118164062499964,128.35969543457034,28.643384933471697"
captured_frames/frame_68.jpg,False,
captured_frames/frame_69.jpg,True,"142.78498840332034,147.89533996582034,264.3532104492188,148.02745056152347,261.7868957519531,23.29157257080078,137.74891662597653,28.372987747192365"
captured_frames/frame_70.jpg,False,
