img_filepath,has_apriltag,corners
captured_frames/frame_10000000.jpg,False,
captured_frames/frame_10000001.jpg,False,
captured_frames/frame_10000002.jpg,False,
captured_frames/frame_10000003.jpg,False,
captured_frames/frame_10000004.jpg,False,
captured_frames/frame_10000005.jpg,False,
captured_frames/frame_10000006.jpg,False,
captured_frames/frame_10000007.jpg,False,
captured_frames/frame_10000008.jpg,False,
captured_frames/frame_10000009.jpg,False,
captured_frames/frame_10000010.jpg,False,
captured_frames/frame_10000011.jpg,False,
captured_frames/frame_10000012.jpg,False,
captured_frames/frame_10000013.jpg,False,
captured_frames/frame_10000014.jpg,False,
captured_frames/frame_10000015.jpg,False,
captured_frames/frame_10000016.jpg,False,
captured_frames/frame_10000017.jpg,False,
captured_frames/frame_10000018.jpg,False,
captured_frames/frame_10000019.jpg,False,
captured_frames/frame_10000020.jpg,False,
captured_frames/frame_10000021.jpg,False,
captured_frames/frame_10000022.jpg,False,
captured_frames/frame_10000023.jpg,False,
captured_frames/frame_10000024.jpg,False,
captured_frames/frame_10000025.jpg,False,
captured_frames/frame_10000026.jpg,False,
captured_frames/frame_10000027.jpg,False,
captured_frames/frame_10000028.jpg,False,
captured_frames/frame_10000029.jpg,False,
captured_frames/frame_10000030.jpg,False,
captured_frames/frame_10000031.jpg,False,
captured_frames/frame_10000032.jpg,False,
captured_frames/frame_10000033.jpg,False,
captured_frames/frame_10000034.jpg,False,
captured_frames/frame_10000035.jpg,False,
captured_frames/frame_10000036.jpg,False,
captured_frames/frame_10000037.jpg,False,
captured_frames/frame_10000038.jpg,False,
captured_frames/frame_10000039.jpg,False,
captured_frames/frame_10000040.jpg,False,
captured_frames/frame_10000041.jpg,False,
captured_frames/frame_10000042.jpg,False,
captured_frames/frame_10000043.jpg,False,
captured_frames/frame_10000044.jpg,False,
captured_frames/frame_10000045.jpg,False,
captured_frames/frame_10000046.jpg,False,
captured_frames/frame_10000047.jpg,False,
captured_frames/frame_10000048.jpg,False,
captured_frames/frame_10000049.jpg,False,
captured_frames/frame_10000050.jpg,False,
captured_frames/frame_10000051.jpg,False,
captured_frames/frame_10000052.jpg,False,
captured_frames/frame_10000053.jpg,False,
captured_frames/frame_10000054.jpg,False,
captured_frames/frame_10000055.jpg,False,
captured_frames/frame_10000056.jpg,False,
captured_frames/frame_10000057.jpg,False,
captured_frames/frame_10000058.jpg,False,
captured_frames/frame_10000059.jpg,False,
captured_frames/frame_10000060.jpg,False,
captured_frames/frame_10000061.jpg,False,
captured_frames/frame_10000062.jpg,False,
captured_frames/frame_10000063.jpg,False,
captured_frames/frame_10000064.jpg,False,
captured_frames/frame_10000065.jpg,False,
captured_frames/frame_10000066.jpg,False,
captured_frames/frame_10000067.jpg,False,
captured_frames/frame_10000068.jpg,False,
captured_frames/frame_10000069.jpg,False,
captured_frames/frame_10000070.jpg,False,
captured_frames/frame_10000071.jpg,False,
captured_frames/frame_10000072.jpg,False,
captured_frames/frame_10000073.jpg,False,
captured_frames/frame_10000074.jpg,False,
captured_frames/frame_10000075.jpg,False,
captured_frames/frame_10000076.jpg,False,
captured_frames/frame_10000077.jpg,False,
captured_frames/frame_10000078.jpg,False,
captured_frames/frame_10000079.jpg,False,
captured_frames/frame_10000080.jpg,False,
captured_frames/frame_10000081.jpg,False,
captured_frames/frame_10000082.jpg,False,
captured_frames/frame_10000083.jpg,False,
captured_frames/frame_10000084.jpg,False,
captured_frames/frame_10000085.jpg,False,
captured_frames/frame_10000086.jpg,False,
captured_frames/frame_10000087.jpg,False,
captured_frames/frame_10000088.jpg,False,
captured_frames/frame_10000089.jpg,False,
